time	V(n010)
6.647462805527939e-02	1.334549e+00
6.700000000000000e-02	1.414026e+00
6.705424320631764e-02	1.429070e+00
6.716272961895293e-02	1.451214e+00
6.737970244422352e-02	1.461497e+00
6.781364809476467e-02	1.409286e+00
6.800000000000000e-02	1.362135e+00
6.808678913010824e-02	1.330727e+00
6.826036739032471e-02	1.268772e+00
6.860752391075763e-02	1.147679e+00
6.900000000000001e-02	1.013484e+00
6.906943130408659e-02	9.872997e-01
6.920829391225976e-02	9.287612e-01
6.948601912860609e-02	7.868207e-01
7.000000000000001e-02	4.839838e-01
7.005554504326927e-02	4.472929e-01
7.016663512980781e-02	3.769602e-01
7.038881530288488e-02	2.492854e-01
7.083317564903902e-02	2.111337e-02
7.100000000000001e-02	-5.650349e-02
7.105962704063506e-02	-8.194020e-02
7.117888112190518e-02	-1.330219e-01
7.141738928444541e-02	-2.360479e-01
7.189440560952585e-02	-4.437797e-01
7.200000000000001e-02	-4.900554e-01
7.204196907081765e-02	-5.067222e-01
7.212590721245295e-02	-5.360195e-01
7.229378349572355e-02	-5.768906e-01
7.262953606226474e-02	-6.105424e-01
7.300000000000000e-02	-6.040182e-01
7.306715051330824e-02	-5.943844e-01
7.320145153992472e-02	-5.753373e-01
7.347005359315767e-02	-5.381154e-01
7.400000000000000e-02	-4.661706e-01
7.402302528604764e-02	-4.630490e-01
7.406907585814293e-02	-4.566123e-01
7.416117700233350e-02	-4.428647e-01
7.434537929071466e-02	-4.122256e-01
7.471378386747697e-02	-3.434606e-01
7.500000000000000e-02	-2.853227e-01
7.507368091535246e-02	-2.731781e-01
7.522104274605738e-02	-2.571945e-01
7.551576640746724e-02	-2.552621e-01
7.592954841768901e-02	-2.915728e-01
7.600000000000000e-02	-3.027257e-01
7.605603551521389e-02	-3.132313e-01
7.616810654564170e-02	-3.322092e-01
7.639224860649729e-02	-3.615198e-01
7.684053272820848e-02	-4.022103e-01
7.700000000000000e-02	-4.116627e-01
7.708965682434224e-02	-4.125238e-01
7.726897047302672e-02	-4.099950e-01
7.762759777039567e-02	-3.912397e-01
7.800000000000000e-02	-3.596741e-01
7.807172545947379e-02	-3.496347e-01
7.821517637842137e-02	-3.264481e-01
7.850207821631654e-02	-2.678903e-01
7.900000000000000e-02	-1.478652e-01
7.905738036757903e-02	-1.332177e-01
7.917214110273710e-02	-1.077005e-01
7.940166257305323e-02	-7.030527e-02
7.970249645084954e-02	-4.280849e-02
8.000000000000000e-02	-3.243452e-02
8.003613966251394e-02	-3.298564e-02
8.010841898754181e-02	-3.380004e-02
8.025297763759758e-02	-3.417487e-02
8.054209493770910e-02	-3.104085e-02
8.100000000000000e-02	-2.090742e-02
8.105782346002231e-02	-1.929424e-02
8.117347038006692e-02	-1.701953e-02
8.140476422015613e-02	-1.572259e-02
8.166362953869585e-02	-1.886229e-02
8.200000000000000e-02	-2.767647e-02
8.204398324063494e-02	-2.884362e-02
8.213194972190481e-02	-2.985781e-02
8.230788268444456e-02	-2.717234e-02
8.252106134370611e-02	-1.558114e-02
8.290196599254605e-02	1.873001e-02
8.300000000000000e-02	3.003857e-02
8.303492877684618e-02	3.453410e-02
8.310478633053853e-02	4.302715e-02
8.324450143792322e-02	5.781355e-02
8.352393165269262e-02	8.034334e-02
8.400000000000001e-02	1.085959e-01
8.405588604295389e-02	1.107211e-01
8.416765812886165e-02	1.155242e-01
8.439120230067716e-02	1.274831e-01
8.483829064430819e-02	1.562940e-01
8.500000000000001e-02	1.681086e-01
8.507483073796850e-02	1.737725e-01
8.522449221390549e-02	1.844031e-01
8.552381516577948e-02	2.030362e-01
8.600000000000001e-02	2.290587e-01
8.605986459037480e-02	2.329350e-01
8.617959377112440e-02	2.431229e-01
8.641905213262359e-02	2.738088e-01
8.689796885562197e-02	3.552665e-01
8.700000000000001e-02	3.759559e-01
8.705089024433969e-02	3.856595e-01
8.715267073301906e-02	4.009761e-01
8.735623171037780e-02	4.139824e-01
8.776335366509529e-02	3.999479e-01
8.799999999999999e-02	3.731881e-01
8.806341992065893e-02	3.625228e-01
8.819025976197678e-02	3.434685e-01
8.844393944461248e-02	3.148994e-01
8.895129880988391e-02	2.753195e-01
8.900000000000000e-02	2.728229e-01
8.908289395681829e-02	2.696148e-01
8.924868187045487e-02	2.621504e-01
8.958025769772802e-02	2.436141e-01
9.000000000000000e-02	2.162383e-01
9.006631516545463e-02	2.111756e-01
9.019894549636390e-02	2.009501e-01
9.046420615818242e-02	1.800770e-01
9.100000000000000e-02	1.371579e-01
9.102420931035082e-02	1.353752e-01
9.105648839081858e-02	1.335962e-01
9.112104655175408e-02	1.319988e-01
9.125016287362511e-02	1.359641e-01
9.150839551736716e-02	1.673411e-01
9.198999800269254e-02	2.634813e-01
9.200000000000000e-02	2.660752e-01
9.201107063063307e-02	2.692941e-01
9.203321189189921e-02	2.754257e-01
9.207749441443150e-02	2.863604e-01
9.216605945949607e-02	3.032344e-01
9.234318954962523e-02	3.193009e-01
9.269744972988352e-02	3.081291e-01
9.300000000000000e-02	2.684438e-01
9.305251336870979e-02	2.574369e-01
